,Name,Title,Typename,XYZ URL,Max Z
71,population_change_1921,"Great Britain / Ireland - OS 10 mile, Population Change, 1921",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/population_change_1921/{z}/{x}/{y}.png,12
72,population_change_1931,"Great Britain / Ireland - OS 10 mile, Population Change, 1931",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/population_change_1931/{z}/{x}/{y}.png,12
73,population_change_1939,"Great Britain / Ireland - OS 10 mile, Population Change, 1939",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/population_change_1939/{z}/{x}/{y}.png,12
74,population_density_1931,"Great Britain / Ireland - OS 10 mile, Population Density, 1931",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/population_density_1931/{z}/{x}/{y}.png,12
75,population_density_1951,"Great Britain / Ireland - OS 10 mile, Population Density, 1951",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/population_density_1951/{z}/{x}/{y}.png,12
76,railways,"Great Britain / Ireland - OS 10 mile, Railways, 1946",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/railway/{z}/{x}/{y}.png,12
77,rainfall,"Great Britain / Ireland - OS 10 mile, Rainfall, 1881-1915",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/rainfall/{z}/{x}/{y}.png,12
78,roads_46,"Great Britain / Ireland - OS 10 mile, Roads, 1946",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/roads_46/{z}/{x}/{y}.png,12
79,roads_56,"Great Britain / Ireland - OS 10 mile, Roads, 1956",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/roads_56/{z}/{x}/{y}.png,12
80,veg_north,"Great Britain / Ireland - OS 10 mile, Vegetation - North, 1953",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/vegetation_north/{z}/{x}/{-y}.png,12
81,veg_south,"Great Britain / Ireland - OS 10 mile, Vegetation - South, 1945",nls:WFS,https://mapseries-tilesets.s3.amazonaws.com/ten_mile/vegetation_south/{z}/{x}/{-y}.png,12
82,ostwentyfiveinchparishabercorn,abercorn,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/abercorn/{z}/{x}/{y}.png,
83,ostwentyfiveinchparishbathgate,bathgate,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/bathgate/{z}/{x}/{y}.png,
84,ostwentyfiveinchparishboness,boness,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/boness/{z}/{x}/{y}.png,
85,ostwentyfiveinchparishcarriden,carriden,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/carriden/{z}/{x}/{y}.png,
86,ostwentyfiveinchparishdalmeny,dalmeny,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/dalmeny/{z}/{x}/{y}.png,
87,ostwentyfiveinchparishkirkliston,kirkliston,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/kirkliston/{z}/{x}/{y}.png,
88,ostwentyfiveinchparishlinlithgow,linlithgow,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/linlithgow/{z}/{x}/{y}.png,
89,ostwentyfiveinchparishlivingston,livingston,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/livingston/{z}/{x}/{y}.png,
90,ostwentyfiveinchparishtorphichen,torphichen,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/torphichen/{z}/{x}/{y}.png,
91,ostwentyfiveinchparishuphall,uphall,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/uphall/{z}/{x}/{y}.png,
92,ostwentyfiveinchparishwhitburn,whitburn,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/whitburn/{z}/{x}/{y}.png,
93,ostwentyfiveinchparishavondale,avondale,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/avondale/{z}/{x}/{y}.png,
94,ostwentyfiveinchparishbarony,barony,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/barony/{z}/{x}/{y}.png,
95,ostwentyfiveinchparishbiggar,biggar,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/biggar/{z}/{x}/{y}.png,
96,ostwentyfiveinchparishblantyre,blantyre,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/blantyre/{z}/{x}/{y}.png,
97,ostwentyfiveinchparishbothwell,bothwell,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/bothwell/{z}/{x}/{y}.png,
98,ostwentyfiveinchparishcadder,cadder,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/cadder/{z}/{x}/{y}.png,
99,ostwentyfiveinchparishcalton,calton,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/calton/{z}/{x}/{y}.png,
100,ostwentyfiveinchparishcambuslang,cambuslang,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/cambuslang/{z}/{x}/{y}.png,
101,ostwentyfiveinchparishcambusnethan,cambusnethan,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/cambusnethan/{z}/{x}/{y}.png,
102,ostwentyfiveinchparishcarluke,carluke,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/carluke/{z}/{x}/{y}.png,
103,ostwentyfiveinchparishcarmichael,carmichael,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/carmichael/{z}/{x}/{y}.png,
104,ostwentyfiveinchparishcarmunnock,carmunnock,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/carmunnock/{z}/{x}/{y}.png,
105,ostwentyfiveinchparishcarnwath,carnwath,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/carnwath/{z}/{x}/{y}.png,
106,ostwentyfiveinchparishcarstairs,carstairs,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/carstairs/{z}/{x}/{y}.png,
107,ostwentyfiveinchparishcity_of_glasgow,city_of_glasgow,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/city_of_glasgow/{z}/{x}/{y}.png,
108,ostwentyfiveinchparishcovington,covington,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/covington/{z}/{x}/{y}.png,
109,ostwentyfiveinchparishcrawford,crawford,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/crawford/{z}/{x}/{y}.png,
110,ostwentyfiveinchparishcrawfordjohn,crawfordjohn,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/crawfordjohn/{z}/{x}/{y}.png,
111,ostwentyfiveinchparishculter,culter,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/culter/{z}/{x}/{y}.png,
112,ostwentyfiveinchparishdalserf,dalserf,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/dalserf/{z}/{x}/{y}.png,
113,ostwentyfiveinchparishdalziel,dalziel,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/dalziel/{z}/{x}/{y}.png,
114,ostwentyfiveinchparishdolphinton,dolphinton,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/dolphinton/{z}/{x}/{y}.png,
115,ostwentyfiveinchparishdouglas,douglas,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/douglas/{z}/{x}/{y}.png,
